FFXIV Version 7.51
SpotID,TerritoryOverride,IsEmpty,IsCurrent,Description
10145,0,1,0,Null row
10146,0,1,0,Null row
10147,1291,0,1,Phaenna
10148,1291,0,1,Phaenna
10149,1291,0,1,Phaenna
10150,1291,0,1,Phaenna
10151,1291,0,1,Phaenna
10152,1291,0,1,Phaenna
10153,1291,0,1,Phaenna
10154,1291,0,1,Phaenna
10155,1291,0,1,Phaenna
10156,1310,1,1,Oizys
10157,1310,1,1,Oizys
10158,1310,1,1,Oizys
10159,1310,1,1,Oizys
10160,1310,1,1,Oizys
10161,1310,1,1,Oizys
10162,1310,1,1,Oizys
10163,1310,0,1,Oizys
10164,1310,0,1,Oizys
10165,1310,0,1,Oizys
10166,1310,0,1,Oizys
10167,1310,0,1,Oizys
10168,1310,0,1,Oizys
10169,1310,0,1,Oizys
10170,1310,0,1,Oizys
10171,1310,0,1,Oizys
10172,1310,0,1,Oizys
10173,1310,0,1,Oizys
10174,1310,0,1,Oizys
10175,1310,0,1,Oizys
10176,1310,0,1,Oizys
10177,1310,0,1,Oizys
10178,1310,0,1,Oizys
10179,1310,0,1,Oizys
10180,1310,0,1,Oizys
10181,1310,0,1,Oizys
10182,1310,0,1,Oizys
10183,1310,0,1,Oizys
10184,1310,0,1,Oizys
10185,1310,0,1,Oizys
10186,1310,0,1,Oizys
10187,1310,0,1,Oizys
10188,1310,0,1,Oizys
10189,1310,0,1,Oizys
10190,1310,0,1,Oizys
10191,1310,0,1,Oizys
10192,1310,0,1,Oizys
10193,1319,1,1,Auxesia
10194,1319,1,1,Auxesia
10195,1319,1,1,Auxesia
10196,1319,1,1,Auxesia
10197,1319,1,1,Auxesia
10198,1319,1,1,Auxesia
10199,1319,1,1,Auxesia
10200,1319,1,1,Auxesia
10201,1319,0,1,Auxesia
10202,1319,0,1,Auxesia
10203,1319,0,1,Auxesia
10204,1319,0,1,Auxesia
10205,1319,0,1,Auxesia
10206,1319,0,1,Auxesia
10207,1319,0,1,Auxesia
10208,1319,0,1,Auxesia
10209,1319,0,1,Auxesia
10210,1319,0,1,Auxesia
10211,1319,0,1,Auxesia
10212,1319,0,1,Auxesia
10213,1319,0,1,Auxesia
10214,1319,0,1,Auxesia
10215,1319,0,1,Auxesia
10216,1319,0,1,Auxesia
10217,1319,0,1,Auxesia
10218,1319,0,1,Auxesia
10219,1319,0,1,Auxesia
10220,1319,0,1,Auxesia
10221,1319,0,1,Auxesia
10222,1319,0,1,Auxesia
10223,1319,0,1,Auxesia
10224,1319,0,1,Auxesia
10225,1319,0,1,Auxesia
10226,1319,0,1,Auxesia
10227,1319,0,1,Auxesia
10228,1319,0,1,Auxesia
10229,1319,0,1,Auxesia
10230,1319,0,1,Auxesia
